filename, aircraft, bird, drone
1995_jpg.rf.9d32f67f7901014c8f52b8eba2d39703.jpg, 0, 0, 1
418d1a72-1339-4d28-b6fc-61121e1c7f8f_jpg.rf.9c08d72ce20b499f4ea2e317883aa4b9.jpg, 0, 1, 0
2861_jpg.rf.9d2c16574f96347b51b3ea961d031667.jpg, 0, 0, 1
16_4_img5089_jpg.rf.9bd9e56287959c8d6963d5d5d4401e44.jpg, 0, 0, 1
pic_574_jpg.rf.9c003874784d7d1ce5e22938835d2c95.jpg, 0, 0, 1
0086_jpg.rf.9bde8f89234bb18810f00cf3c8489734.jpg, 0, 0, 1
swarm243_jpg.rf.9cd2d4732ca1f6822fe28d97ec1fa595.jpg, 0, 0, 1
c2bd21a9889d6a05_jpg.rf.9c1a3e9d0715eb6b9b61ed772f2f1eec.jpg, 1, 0, 0
background_861_jpg.rf.9d010a50848400f5f0bb185128201776.jpg, 0, 0, 0
voladorassilueta56_jpg.rf.9ca684373c03e3e9b3fd2a096d699c39.jpg, 0, 1, 0
38b0aedc-955e-4aed-904a-e49a83c07440_jpg.rf.9bdb243334600ade86c4f34d8abb4bfe.jpg, 0, 1, 0
background_852_jpg.rf.9c0196ff0d2c138f59eb8d07715f382f.jpg, 0, 0, 0
background_257_jpg.rf.9c14b28cd4cda96e97c3c7b63a652ec9.jpg, 0, 0, 0
e279_jpg.rf.9c15671176e0ac0ca73e5b256dcb6cef.jpg, 0, 1, 0
d09d36b5ebc9906f_jpg.rf.9cb9e2bc995d6cd79725f7edaf80810a.jpg, 1, 0, 0
flying-birds-sea-birds-flying_jpg.rf.9d822bc5b309bf7d01bba48fc06d5e13.jpg, 0, 1, 0
099_jpg.rf.9bd6263a83fbc27766127fa278ca9a22.jpg, 1, 0, 0
0046_jpg.rf.9c47a0b1d9569affc1ab0844173ee859.jpg, 0, 0, 1
pic_754_jpg.rf.9cd2a7850c65a4dc3d772fd8d2197d57.jpg, 0, 0, 1
pic_083_jpg.rf.9ce6a4ff5b011ccf6f823fb1dc63295e.jpg, 0, 0, 1
a92f308157ecc9ef_jpg.rf.9de80ca88aa482d4390237dabc9607c1.jpg, 1, 0, 0
pic_089_jpg.rf.9d9c06b8821589490c720afc69fd8d91.jpg, 0, 0, 1
foto14588_jpg.rf.9c756a312d121da943e6f19cec4ed4f5.jpg, 0, 0, 1
077a2903c489649b_jpg.rf.9dd9a1e9b15ea9972e9d3a69386baa68.jpg, 1, 0, 0
2799_jpg.rf.9d532e18a0fa6b10c3e05ad403554f57.jpg, 0, 0, 1
background_792_jpg.rf.9d9c5e17c2bedd13ff554577e7af3f38.jpg, 0, 0, 0
voladorascieloazul54_jpg.rf.9d235fd886019eb7e36f9c1da2db70f5.jpg, 0, 1, 0
pic_489_jpg.rf.9dedb00dfaa1bb8e6338494bbe8fb966.jpg, 0, 0, 1
pic_467_jpg.rf.9d14fe61a59098e788edfc9840f66ee8.jpg, 0, 0, 1
2d0e1d85127f1323_jpg.rf.9e0dcb4b0c7fc6eeacbd8cc3c86a27e2.jpg, 1, 0, 0
verdecillo-gafarro-Serinus_serinus-hembra-Charles-J-sharp-1024x683_jpg.rf.9e6546fcb6309273e80552df70c5a487.jpg, 0, 1, 0
background_216_jpg.rf.9cf1db4661316c4ebeeebbfd1b6d000a.jpg, 0, 0, 0
background_406_jpg.rf.9eb70d828bd03306fc8fa9d4b2bf4063.jpg, 0, 0, 0
185_jpg.rf.9e9842c45822f8f45c31c8c386338fb8.jpg, 1, 0, 0
49a28b3b4dc664a0_jpg.rf.9e9f47fe974009988952e7caf30b921d.jpg, 1, 0, 0
aa0a9a48-1a55-4cc3-a3f9-82e72602efef_jpg.rf.9f5ebc8d8273957cdd64264395864326.jpg, 0, 1, 0
399_jpeg_jpg.rf.9f022ab44e5fe340ae8fdfc31533a48a.jpg, 0, 0, 1
1715_jpg.rf.9fc31a130d6a8786b1f497cfaa052f80.jpg, 0, 0, 1
pic_481_jpg.rf.9ee0c92ece73c9266e7cc5779f4d2011.jpg, 0, 0, 1
background_478_jpg.rf.9fda3c92e78671980894c8f99d2658f3.jpg, 0, 0, 0
background_943_jpg.rf.9ff4551d0fd99203932179503af787d7.jpg, 0, 0, 0
pic_757_jpg.rf.9fbbb7842db3517a888afb17b428592b.jpg, 0, 0, 1
235f60db-4df4-4203-b538-3018faf34c4f_jpg.rf.9f49d1a56a1ef9cb3e04bb6cb9334108.jpg, 0, 1, 0
swarm309_jpg.rf.9f0dfb4f798eecbb918ed343e9c05f9d.jpg, 0, 0, 1
pic_959_jpg.rf.9ff584252ab25fb9956364be58869544.jpg, 0, 1, 1
47218a7f9f202ec9_jpg.rf.9fbf03788a513f072e3d20e4b033ec15.jpg, 1, 0, 0
background_858_jpg.rf.9fcf8acef076fd2fbc230af678e87312.jpg, 0, 1, 0
pic_537_jpg.rf.9f28f15c86aeda24b00f4804bfff846d.jpg, 1, 0, 1
background_599_jpg.rf.a002fffe1397f511d351bda22d576115.jpg, 0, 0, 0
54605859412742ae_jpg.rf.a03bc14b391e1be5e40b113eca953fb1.jpg, 1, 0, 0
voladoras1_jpg.rf.a0415a67d28f880ea2178ed7fd7c69fa.jpg, 0, 1, 0
d6096bea-4369-4b1f-84fd-d09ab245f694_jpg.rf.9f3c651fdfafdee91fc1c5befc43c493.jpg, 0, 1, 0
067144bba93b16d8_jpg.rf.9ffc2fe9b7739a391ed09dfb0866cb92.jpg, 1, 0, 0
01cbcfa844b82110_jpg.rf.a03d060887e82d8a80ec3da84d0246ad.jpg, 1, 0, 0
descarga-12-_jpeg_jpg.rf.a034b45c02dc99aa9c42cc1115368092.jpg, 0, 1, 0
pic_662_jpg.rf.a07b49d5caa0c4e63b4794165fddee45.jpg, 0, 0, 1
702_jpg.rf.a0fb06d38e6a25f091cbe1e6cfc4cd4a.jpg, 0, 0, 1
130_jpg.rf.a0b5d3ec55b7f8cb86b274756a22955c.jpg, 1, 0, 0
background_682_jpg.rf.a08618448e989a0813ad2d1b66a35f4d.jpg, 0, 0, 0
background_251_jpg.rf.a094cae8967927b58e7f4ffea9759af3.jpg, 0, 0, 0
-AnitaAnandMP-_jpg.rf.a0c08935ae7d42621226292f1fc49d04.jpg, 1, 0, 0
916_jpg.rf.a0b7376c226c5462f284b17d04fb883f.jpg, 0, 0, 1
Airbus-_jpg.rf.a1280b636d2f79d97924984b3dd4b94b.jpg, 1, 0, 0
swarm119_jpg.rf.a1273976b18cd170acf926c6b21293f2.jpg, 0, 0, 1
Abdullah-Bekci-_jpg.rf.a1178776e7896e0b44b7ca92af88e7e7.jpg, 1, 0, 0
e276_jpg.rf.a10aa8ae31e90d022dbee65f2f88914f.jpg, 0, 1, 0
voladorascieloazul60_jpg.rf.a1038c20a32f097a770862f7cac85edd.jpg, 0, 1, 0
background_723_jpg.rf.a15efb65354f1fb982ec1112e478f917.jpg, 0, 0, 0
33_JPEG_jpg.rf.a0fc6e0a03674733fcfd923e4af71029.jpg, 0, 0, 1
b3cde43064e067fb_jpg.rf.a21836bd4d7e9323e9d69f8a5f543fc1.jpg, 1, 0, 0
gg25_jpg.rf.a21d3c52997b3d67f0d666729559b642.jpg, 0, 1, 0
swarm251_jpg.rf.a1310e3c5484ffdce76cc89c71557252.jpg, 0, 0, 1
pic_019_jpg.rf.a186433336de0530beb979ecc8f2f63f.jpg, 0, 0, 1
background_217_jpg.rf.a198ec8606527d7afda9960984261d9c.jpg, 0, 0, 0
408_jpeg_jpg.rf.a19bb207b8d9276f3626304d4fbbffd3.jpg, 0, 0, 1
